DATE;C;CIRCUIT;DISTRICT;NB_COLIS;PGEO;RUE;NUMEROS_RUE
01/12/2025;546;683;d 4;13;10;rue massue;3, 12, 20TER, 21, 27, 29, 31, 32, 35, 54
01/12/2025;542;683;d 4;2;2;avenue de la republique;2, 18
01/12/2025;546;683;d 4;3;2;rue de l egalite;8, 14
01/12/2025;546;683;d 4;4;3;rue de colmar;1, 4, 6
01/12/2025;546;683;d 4;17;9;avenue aubert;42, 44, 56, 60, 78, 84, 94, 100, 102
01/12/2025;546;684;d 5;7;5;avenue antoine quinson;2, 3, 6, 8, 10, 16
01/12/2025;546;684;d 5;1;1;villa beausejour;4
01/12/2025;546;684;d 5;2;2;rue eugene loeuil;3, 4
01/12/2025;546;684;d 5;5;2;rue du docteur lebel;8, 9
01/12/2025;546;684;d 5;3;3;rue eugenie gerard;5, 6, 11
01/12/2025;546;684;d 5;4;4;rue villebois mareuil;6, 16, 19
01/12/2025;546;684;d 5;1;1;rue de montreuil;7
02/12/2025;546;681;d 2;6;4;rue dohis;3, 5, 10, 16
02/12/2025;546;681;d 2;36;17;rue des laitieres;2, 6, RC10, 12, 13, 18, 23, 25, 27, 29, 30, 41, 47, 47BIS, 51BIS, 56
02/12/2025;546;681;d 2;26;11;rue georges huchon;3, 7, 8, 9, 10, 12, 13, 15, 17, 25, 30
02/12/2025;546;681;d 2;17;11;rue de la prevoyance;2, 3, 4, 11, 22, 24, 27, 33, 40, 45, 61
02/12/2025;546;681;d 2;9;5;avenue georges clemenceau;3, 10, 17, 18, 21
02/12/2025;546;681;d 2;6;2;rue renon;3, 4, 6
02/12/2025;546;681;d 2;2;1;rue victor basch;30
02/12/2025;546;682;d 3;7;5;rue de lagny;5, 21, 25, 29, 39
02/12/2025;546;682;d 3;7;3;rue fays;24, 26, 30
02/12/2025;546;682;d 3;10;6;rue celine robert;3, 11, 12, 13, 44, 46
02/12/2025;546;682;d 3;2;1;rue charles marinier;1
15/10/2025;548;0;inconnu;1;1;rue raymond du temple;89
15/10/2025;542;673;d 5;1;1;avenue du chateau;RC18
15/10/2025;546;683;d 4;2;2;avenue aubert;44, 60
15/10/2025;542;657;d 1;12;7;rue de montreuil;13, 15, 21TER, 23, 25, 52, 60
15/10/2025;546;657;d 1;6;5;avenue aubert;22, 26, 28, 30, 38
15/10/2025;542;657;d 1;16;10;avenue de la republique;35, 41, 42, 48, 57, 87, 95, 100, 111, 133
15/10/2025;542;657;d 1;4;3;rue daumesnil;15, 16, 23
15/10/2025;542;657;d 1;11;10;rue mirabeau;6, 12, 17BIS, 19, 21, 23, 24, 25, 28, 30
15/10/2025;542;657;d 1;11;10;rue de strasbourg;4, 8, 30, 34, 42, 52, 52BIS, 53, 62, 64
15/10/2025;542;658;d 2;2;1;villa david;5
15/10/2025;542;658;d 2;5;3;square daumesnil;1, 3, 4
15/10/2025;542;658;d 2;9;4;rue charles pathe;2, 5, 7, 10
15/10/2025;547;658;d 2;1;1;rue de fontenay;164
15/10/2025;542;658;d 2;4;2;avenue du chateau;49, 51
15/10/2025;542;659;d 3;6;5;rue du midi;5, 6, 9, 11, 16
15/10/2025;548;659;d 3;7;7;rue raymond du temple;2, 3, 7, 12, 17, 26, 82
15/10/2025;548;659;d 3;8;8;rue lejemptel;2, 5, 9, 10, 11, 13, 14, 24
15/10/2025;542;659;d 3;15;8;avenue du chateau;28, 30, 35, 37, 38, 40, 44, 46
15/10/2025;542;660;d 4;7;6;rue de l eglise;4BIS, 12, 19, 24, 28BIS
04/12/2025;542;657;d 1;1;1;avenue de la republique;83
04/12/2025;542;657;d 1;1;1;rue mirabeau;23
04/12/2025;548;659;d 3;2;2;rue raymond du temple;25, 66
04/12/2025;542;659;d 3;1;1;avenue du chateau;38
04/12/2025;542;660;d 4;80;24;rue de montreuil;33, 35BIS, 37, 39, 39BIS, 41, 47, 68, 70, 72, 74BIS, RC82, RC92, 88, 94, 98BIS, 104, 108BIS, 110, 112, 114, 118, 150, 152
04/12/2025;542;660;d 4;10;5;rue de l eglise;5, 7, 20, 24, 28BIS
04/12/2025;542;661;d 5;23;12;rue de la paix;4, 6, 6BIS, 9TER, 14BIS, 18, 22, 25, 28, 37, 52, 58
04/12/2025;542;661;d 5;5;4;rue de la fraternite;6, 8, 10, 12
04/12/2025;542;661;d 5;4;3;rue monmory;4, 8, 16
04/12/2025;542;661;d 5;6;6;rue de belfort;2, 3, 11, 18BIS, 23, 25
04/12/2025;542;661;d 5;2;2;rue gilbert clerfayt;1, 6
04/12/2025;542;661;d 5;1;1;passage des varennes;2
04/12/2025;542;661;d 5;25;5;rue des meuniers;1, 9BIS, 15, 35, RC55
04/12/2025;546;673;d 5;1;1;rue segond;4
04/12/2025;542;673;d 5;2;1;avenue du chateau;RC18
04/12/2025;542;684;d 5;1;1;rue de montreuil;(illisible)
15/10/2025;544;669;d 1;11;9;avenue du general de gaulle;4, 8, 10, 10BIS, 16, 32, 34, 46, 50
15/10/2025;544;669;d 1;1;1;passage jean bastide;2
15/10/2025;544;669;d 1;1;1;rue du donjon;16
15/10/2025;544;669;d 1;12;3;rue anatole france;22BIS, 28, 30, 8
15/10/2025;544;669;d 1;7;5;rue louis besquel;1, 4, 18, 19, 20
15/10/2025;544;669;d 1;16;7;avenue des minimes;8, 16, 30, 34, 36, 40, 62
15/10/2025;544;670;d 2;13;11;avenue du petit parc;20, 22, 25, 27, 28, 34, 35, 36, 38, 39, 40
15/10/2025;544;670;d 2;2;1;cours louis lumiere;10
15/10/2025;544;670;d 2;1;1;square felix nadar;7
15/10/2025;544;670;d 2;6;6;allee jacques daguerre;1, 2, 3, 4, 6, 8
15/10/2025;544;670;d 2;14;7;allee nicephore niepce;1, 3, 4, 5, 6, 7, 8, 11
15/10/2025;544;671;d 3;3;2;allee felix nadar;3, 4
15/10/2025;544;671;d 3;11;4;avenue du petit parc;8, 12, 13, 15
15/10/2025;544;671;d 3;4;4;rue du lieutenant heitz;2, 13, 18, 27
15/10/2025;544;671;d 3;14;10;rue des vignerons;8, 11, 18, 22, 31, 43, 48, 50, 52
15/10/2025;544;672;d 4;16;8;avenue franklin roosevelt;4, 6, 8, 10, 20, 30, 32, 36
15/10/2025;544;672;d 4;1;1;rue du marechal maunoury;29
15/10/2025;544;672;d 4;14;6;rue jean moulin;25, 28BIS, 30BIS, 36, 39, 49
15/10/2025;546;673;d 5;5;1;rue segond;3
15/10/2025;546;673;d 5;6;3;rue d estienne d orves;14, 25, 29
15/10/2025;546;673;d 5;1;1;avenue lamartine;1
